Site,Level,Lab. Reference,Age,Standard Deviation,Sample type,Method,Phase attribution,Region,Reference,Accepted,Notes
Lapa do Picareiro,T,UGAMS-23727,19530,50,Charcoal,AMS,Proto-Solutrean,Portugal,Haws et al. 2019,Yes,
Vale Boi,Rockshelter C1,Wk-24765,19533,92,Charcoal,AMS,Solutrean,Portugal,Cascalheira et al. 2012,Yes,
"Riera, La",1,UCR-1270A,19620,390,Bone,C14,Gravettian?/Solutrean?,Northern Iberia,"Straus, 1986",Yes,
Altamira,7sup,GrA-32761,19630,80,Bone,AMS,Upper Solutrean,Northern Iberia,"Lasheras et al., 2012",Yes,
"Linar , El",3,GrA-27746,19680,90,Bone,AMS,Solutrean,Northern Iberia,"Rasines del Río, 2016",Yes,
Parpallo,PT- 20,OxA-22890,19690,110,Bone,AMS,Solutrense,Mediterranean,"Aura et al., 2012",Yes,
Chaves,C1,GrN-12681,19700,310,Charcoal,C14,Upper/Upper evolved Solutrean,Northern Iberia,"Utrilla, 1995",Yes,
Cueto de la Mina,E,?,19700,500,?,?,Upper Solutrean,Northern Iberia,Alvarez-Laó and García 2010,No,"Problematic (Muñoz Ibánez, 2000:38) No (SD)"
Arlampe,Superficial,Ua-36756,19700,455,,,,,,No,
Aitzbitarte III,II,Ua-37959,19765,220,Bone,AMS,Gravettian/Solutrean,Northern Iberia,"Altuna, 2011",Yes,
"Riera, La",10,Gak-6447,19820,390,Charcoal,C14,Solutrean/Badegoulian,Northern Iberia,"Straus, 1986",No,"problematic (Muñoz Ibáñez, 2000:38) (SD)"
Caldeirão,H,OxA-1939,19900,260,Bone,AMS,Solutrean,Portugal,Zilhão 1997,Yes,
Nerja Galerias Altas,Ciervo pintado en negro,GifA-98191,19900,210,Charcoal,AMS,Solutrense medio,Mediterranean,"Sanchidrián et al., 2001",No,Palaeolithic Art
"Santa Maira, CG",CG II-12a,Beta-317412,19910,100,Charcoal,AMS,Solutrense (superior),Mediterranean,"Aura & Jordá, 2013",Yes,
Peña Capón,II,Beta-246880,19930,110,Tooth,AMS,Solutrean,Central Iberia,Alcaraz-Castaño et al. 2013,Yes,
Vale Almoinha,5 (AIII),OxA-5676,19940,180,Charcoal,AMS,Solutrean,Portugal,Zilhão 1997,Yes,
Hornos de la Peña,C,BM-1882,19950,300,Hueso,C14,Solutrean?,Northern Iberia,"Straus, 1992",Yes,
"Ambrosio, Cueva de",II.1,GifA-95577,19950,210,Charcoal,AMS,Solutrense / SG,Mediterranean,"Ripoll et al., 2004",Yes,
